Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
5.pgm,76.8735,29.27303706205783,101.4206,28.069541853805838
6.pgm,76.2234,29.309920439795768,100.4476,28.111407962814866
7.pgm,78.2623,29.1952775391671,102.6617,28.016719092959196
8.pgm,75.2398,29.366327284155634,101.2507,28.07682326461832
9.pgm,76.903,29.271370788293854,97.5708,28.237604950071873
10.pgm,70.3677,29.65707004719477,90.9741,28.5416259303137
1.pgm,82.7503,28.953107839415026,115.8486,27.49189571045312
2.pgm,72.3584,29.535914057599232,100.3594,28.11522304652879
3.pgm,73.1642,29.487817326191834,96.5069,28.28521995453685
4.pgm,80.5795,29.068557926271012,109.5456,27.734854224590574
5.pgm,72.2894,29.54005740738046,95.5004,28.330751702534943
6.pgm,80.8812,29.052327747944588,113.4166,27.584037369919123
7.pgm,71.5886,29.582364915108368,91.9787,28.49393093777492
8.pgm,82.2571,28.97906966613773,109.4067,27.740364421252465
9.pgm,73.3396,29.47741823913445,98.2682,28.20667359809546
10.pgm,76.0708,29.318623773227817,106.7737,27.84616068395023
