Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
1.pgm,79.6904,29.116743541285317,109.808,27.724463793213143
2.pgm,79.4214,29.131428225505754,106.2591,27.86714227693298
3.pgm,78.4083,29.18718323012474,105.8481,27.883972941376236
4.pgm,77.5946,29.23248862184518,105.7191,27.88926903596068
5.pgm,80.7957,29.056921129146755,110.0004,27.71686096459895
6.pgm,81.7081,29.008152491221203,110.2336,27.707663700685924
7.pgm,80.7679,29.05841569682364,110.9492,27.679561857720607
8.pgm,80.6926,29.06246651753313,112.8191,27.606977299936283
9.pgm,82.025,28.99134121809825,116.1025,27.482387894969914
10.pgm,82.8567,28.947527285545608,115.5459,27.503258211693268
1.pgm,81.982,28.99361851884148,107.0944,27.83313598837958
2.pgm,83.1903,28.930076704192906,108.5841,27.773141248214248
3.pgm,83.2508,28.926919453091784,107.6398,27.8110747871578
4.pgm,82.2099,28.98156240937602,111.8978,27.642588128315403
5.pgm,88.0907,28.68150299809729,125.9965,27.127218796535107
6.pgm,97.3193,28.248813843990046,128.6264,27.037502461083772
7.pgm,87.1176,28.72974458320303,121.7417,27.276409989243525
8.pgm,86.8264,28.744285662087748,117.3957,27.434281711153673
9.pgm,84.6344,28.855334411668462,118.8748,27.379905615972618
10.pgm,89.9696,28.58984571234324,124.0491,27.194867431379702
1.pgm,124.1443,27.19153576851479,173.5096,25.73756852278851
2.pgm,118.8807,27.379690072067746,180.0697,25.576397198411055
3.pgm,127.2369,27.08467281455019,180.8538,25.557527225189954
4.pgm,128.22,27.05124588320197,179.3261,25.594368573567277
5.pgm,126.2605,27.118128560380597,185.3234,25.451501015637877
6.pgm,121.1317,27.29822548579532,166.3561,25.920416305186855
7.pgm,129.5238,27.0073078350105,184.0757,25.480839001882227
8.pgm,132.4481,26.910346282492632,192.9333,25.276731681741804
9.pgm,125.2841,27.15184403364772,175.363,25.691423943630127
10.pgm,118.9534,27.377035010424542,172.7491,25.756645674326837
1.pgm,84.5934,28.857438802803536,117.7657,27.420615429961085
2.pgm,87.5889,28.706312886518162,125.5545,27.142480779874628
3.pgm,88.1422,28.678964747128862,119.1327,27.370493762084035
4.pgm,94.6454,28.369808498387115,128.113,27.054871597586203
5.pgm,89.3386,28.62041218385086,122.8166,27.238232904701654
6.pgm,83.8319,28.896710515723136,118.1593,27.406124514062466
7.pgm,99.1787,28.166619494569474,142.558,26.590887670136112
8.pgm,83.763,28.900281375157274,123.5496,27.2123901718464
9.pgm,90.5852,28.560231133387525,131.304,26.94802404378835
10.pgm,99.1345,28.168555403668613,145.5464,26.500788929650856
1.pgm,88.1606,28.67805823645563,127.6412,27.07089482371441
2.pgm,90.0487,28.58602913416987,127.3803,27.079780934874375
3.pgm,69.86,29.688517795662825,92.2985,28.47885717772836
4.pgm,81.7951,29.003530731709283,110.4753,27.698151712883185
5.pgm,103.2075,27.993691026245653,158.3236,26.135347044651773
6.pgm,104.2277,27.95097206602671,153.825,26.26053437107844
7.pgm,97.3824,28.245998872906846,141.5382,26.622066926666253
8.pgm,102.9412,28.004911342925908,149.6756,26.379293531036915
9.pgm,107.1702,27.83006319678437,156.4697,26.18650110978008
10.pgm,99.8308,28.138158094964364,148.8487,26.403353148666376
1.pgm,129.0147,27.024411640169966,192.0524,25.29660622132954
2.pgm,135.4969,26.81151001659661,192.6504,25.28310445792379
3.pgm,133.816,26.865723169706722,199.7796,25.125292216213598
4.pgm,127.7288,27.067915288286844,180.0266,25.57743681432821
5.pgm,133.9407,26.86167796554871,194.5622,25.240218924896077
6.pgm,128.9428,27.026832641618462,192.9852,25.275563565481676
7.pgm,123.2639,27.222444564243773,187.2754,25.405996275178286
8.pgm,127.9583,27.060118992708112,181.3098,25.546590820294483
9.pgm,119.9495,27.34081918882473,168.7025,25.859588424272143
10.pgm,120.0698,27.33646573636921,177.1515,25.647355268689665
1.pgm,105.4378,27.900840252438105,143.0992,26.574431550365528
2.pgm,81.7657,29.005092017531492,108.764,27.76595189664996
3.pgm,108.1687,27.789787505946673,153.3776,26.273184230720034
4.pgm,101.8904,28.04947093676303,143.7797,26.55382787757928
5.pgm,80.4522,29.075424363011464,110.5557,27.694992221419543
6.pgm,106.5587,27.85491447336264,148.6232,26.409937530211536
7.pgm,81.8777,28.999147263319834,113.1157,27.595574734476784
8.pgm,108.1327,27.79123313704225,147.6508,26.438445564706786
9.pgm,82.4798,28.967327616841292,113.4287,27.583574061820077
10.pgm,79.4477,29.129990319081106,109.8409,27.723162781593096
